Sygnaturaczasowa,s1,s2,s3,wiedza_nt_palenia,zo1,zo2,zo3,plec,wiek,staz
2023/12/02 11:55:18 AM CET,Zdecydowanie się nie zgadzam,Zdecydowanie się zgadzam,Zdecydowanie się zgadzam,Przewlekła obturacyjna choroba płuc,Zdecydowanie się nie zgadzam,Zdecydowanie się zgadzam,Zdecydowanie się zgadzam,Kobieta,43,20
2023/12/02 11:55:24 AM CET,Nie zgadzam się,Zgadzam się,Zgadzam się,Przewlekła obturacyjna choroba płuc;Astma oskrzelowa;Alergie wziewne;Gruźlica;Zapalenie płuc;Przewlekłe zapalenie oskrzeli,Zdecydowanie się nie zgadzam,Zdecydowanie się nie zgadzam,Zdecydowanie się nie zgadzam,Kobieta,30,5
2023/12/02 11:56:04 AM CET,Zdecydowanie się nie zgadzam,Nie zgadzam się,Nie zgadzam się,Astma oskrzelowa,Nie zgadzam się,Nie zgadzam się,Zdecydowanie się zgadzam,Kobieta,14,4
2023/12/02 11:56:18 AM CET,Zdecydowanie się nie zgadzam,Zdecydowanie się nie zgadzam,Zdecydowanie się nie zgadzam,Przewlekła obturacyjna choroba płuc,Zdecydowanie się nie zgadzam,Zgadzam się,Zdecydowanie się zgadzam,Kobieta,44,20
2023/12/02 11:56:33 AM CET,Nie zgadzam się,Zgadzam się,Trudno powiedzieć,Astma oskrzelowa,Trudno powiedzieć,Trudno powiedzieć,Zgadzam się,Kobieta,40,20
2023/12/02 11:56:33 AM CET,Zdecydowanie się nie zgadzam,Zdecydowanie się zgadzam,Zdecydowanie się zgadzam,Przewlekła obturacyjna choroba płuc;Astma oskrzelowa;Infekcje dróg oddechowych,Zdecydowanie się nie zgadzam,Zdecydowanie się nie zgadzam,Zdecydowanie się nie zgadzam,Kobieta,49,30
2023/12/02 11:56:38 AM CET,Nie zgadzam się,Zgadzam się,Zgadzam się,Zapalenie płuc,Nie zgadzam się,Nie zgadzam się,Nie zgadzam się,Kobieta,48,29
2023/12/02 11:56:44 AM CET,Trudno powiedzieć,Trudno powiedzieć,Trudno powiedzieć,Przewlekła obturacyjna choroba płuc;Astma oskrzelowa;Alergie wziewne;Gruźlica;Zapalenie płuc;Przewlekłe zapalenie oskrzeli;Infekcje dróg oddechowych,Trudno powiedzieć,Trudno powiedzieć,Trudno powiedzieć,Kobieta,35,10
2023/12/02 11:56:46 AM CET,Nie zgadzam się,Zgadzam się,Zgadzam się,Przewlekła obturacyjna choroba płuc;Astma oskrzelowa;Alergie wziewne,Nie zgadzam się,Nie zgadzam się,Nie zgadzam się,Kobieta,50,30
2023/12/02 11:56:56 AM CET,Trudno powiedzieć,Trudno powiedzieć,Zdecydowanie się zgadzam,Przewlekła obturacyjna choroba płuc;Astma oskrzelowa;Alergie wziewne;Przewlekłe zapalenie oskrzeli;Infekcje dróg oddechowych,Trudno powiedzieć,Nie zgadzam się,Nie zgadzam się,Kobieta,23,1
